College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E005,CS Computers,2AG,1,1,2021,KCET,365.0
E005,CY CS- Cyber Security,GM,1,1,2022,KCET,368.0
E005,CS Computers,GMH,1,1,2022,KCET,370.0
E005,IE Info.Science,3BG,1,2,2021,KCET,389.0
E005,CS Computers,2BG,1,1,2021,KCET,400.0
E005,IE Info.Science,3BG,1,1,2020,KCET,404.0
E005,CS Computers,1G,1,1,2021,KCET,408.0
E005,EC Electronics,GM,1,1,2020,KCET,416.0
E005,CS Computers,GMK,1,1,2022,KCET,423.0
E005,IE Info.Science,GM,1,3,2021,KCET,430.0
E005,CS Computers,GMH,1,3,2020,KCET,434.0
E005,CS Computers,GMR,1,1,2022,KCET,436.0
E005,CS Computers,GMK,1,1,2021,KCET,436.0
E005,CS Computers,3BG,1,1,2022,KCET,437.0
E005,EC Electronics,GM,1,1,2021,KCET,440.0
E005,CS Computers,GMH,1,3,2021,KCET,449.0
E005,IE Info.Science,2BG,1,1,2021,KCET,449.0
E005,CS Computers,2BG,1,2,2021,KCET,449.0
E009,CS Computers,GM,1,1,2021,KCET,450.0
E005,CS Computers,GM,1,3,2022,KCET,454.0
E005,IE Info.Science,GMH,1,3,2021,KCET,459.0
E005,AI Artificial Intelligence,GMH,1,2,2021,KCET,459.0
E005,CS Computers,3BR,1,2,2021,KCET,463.0
E006,CS Computers,GM,1,1,2021,KCET,476.0
E005,CS Computers,GMR,1,1,2020,KCET,476.0
E005,EC Electronics,GM,1,2,2020,KCET,486.0
E005,CS Computers,3AG,1,1,2020,KCET,487.0
E005,CS Computers,3AG,1,2,2020,KCET,489.0
E005,CS Computers,3AG,1,3,2020,KCET,489.0
E005,IE Info.Science,3AG,1,1,2020,KCET,489.0
E005,IE Info.Science,2AG,1,1,2021,KCET,495.0
E005,CS Computers,2AG,1,2,2021,KCET,495.0
E048,CS Computers,GM,1,1,2021,KCET,498.0
E005,AI Artificial Intelligence,GMR,1,1,2021,KCET,517.0
E005,IE Info.Science,2AG,1,2,2021,KCET,520.0
E005,EC Electronics,GMH,1,1,2021,KCET,522.0
E005,CS Computers,3AG,1,1,2022,KCET,525.0
E005,CS Computers,2BG,1,1,2022,KCET,530.0
E006,CS Computers,GMH,1,1,2021,KCET,541.0
E005,CS Computers,2AH,1,1,2021,KCET,543.0
E005,CS Computers,2AH,1,2,2021,KCET,543.0
E005,CS Computers,3BH,1,1,2020,KCET,558.0
E005,CS Computers,3BH,1,3,2020,KCET,558.0
E005,CS Computers,3BH,1,2,2020,KCET,558.0
E005,CS Computers,1G,1,1,2020,KCET,567.0
